stt,logo_name,company_name,location,field,people,country,working_day,time
435,logo-435.png,SAIGON BPO,"District 4, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Friday,No OT
436,logo-436.png,TECH JDI,Ho Chi Minh,Product,18264,Singapore,Monday - Friday,No OT
437,logo-437.png,HICAS,"Ha Noi, Ho Chi Minh",Product,18264,Vietnam,Monday - Saturday,Extra salary for OT
438,logo-438.png,CUBICSTACK SOLUTIONS,"District 10, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
439,logo-439.png,FE CREDIT,"District 4, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
440,logo-440.png,MLPERT,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
441,logo-441.png,TechVSI,"Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
442,logo-442.png,FINVIET,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
443,logo-443.png,GuardRails,"Ho Chi Minh, Ha Noi",Product,18264,Singapore,Monday - Friday,No OT
444,logo-444.png,INFOASIA SOFTWARE,"District 7, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
445,logo-445.png,Dai-ichi Life Việt Nam,"Phu Nhuan, Ho Chi Minh",Product,1000+,Japan,Monday - Friday,Extra salary for OT
446,logo-446.png,VPDD Plott Corporation tại TP.HCM,"Tan Binh, Ho Chi Minh",Product,51-150,Japan,Monday - Friday,No OT
447,logo-447.png,Pizza Hut Digital Ventures,"Tan Binh, Ho Chi Minh",Product,51-150,United Kingdom,Monday - Friday,No OT
448,logo-448.png,Remote Resources VN (RRVN),Ho Chi Minh,Outsourcing,51-150,Vietnam,Monday - Friday,none
449,logo-449.png,Citigo Software,"Ha Noi, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Friday,Extra salary for OT
450,logo-450.png,Vouch SG Pte Ltd,"Thu Duc City, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
451,logo-451.png,EIGEN ENERGY PTE LTD,"District 1, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
452,logo-452.png,MicroSec,"District 3, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
453,logo-453.png,"DFK CO.,LTD","Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
454,logo-454.png,ITBee Solutions,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
455,logo-455.png,Hero Arena,"Other, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
456,logo-456.png,"Javac Technology Software Company, Ltd","Tan Binh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
457,logo-457.png,ICSC,"District 12, Ho Chi Minh",Outsourcing,18264,Vietnam,none,none
458,logo-458.png,ZEN APP,"Go Vap, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
459,logo-459.png,Woss Corporation,"District 2, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
460,logo-460.png,Mac Marketing,"District 1, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
461,logo-461.png,The Vietnam Group,"Binh Thanh, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
462,logo-462.png,Integro Technologies,"Ha Noi, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
463,logo-463.png,Zim Academy,"District 5, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
464,logo-464.png,Bein,"District 7, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
465,logo-465.png,Absolute Software (Vietnam) Ltd,"Tan Binh, Ho Chi Minh",Product,501-1000,Canada,Monday - Friday,No OT
466,logo-466.png,CNV Holdings,"Ho Chi Minh, Ha Noi",Product,51-150,Vietnam,Monday - Friday,No OT
467,logo-467.png,MangoAds,"District 10, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
468,logo-468.png,Port Cities Vietnam,"District 4, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
469,logo-469.png,Raksul Vietnam,"District 1, Ho Chi Minh",Product,18264,Japan,Monday - Friday,No OT
470,logo-470.png,IT-Development Vietnam,"District 3, Ho Chi Minh",Product,18264,France,Monday - Friday,No OT
471,logo-471.png,CRYSTAL BAY TECHNOLOGY,Others,Product,18264,Vietnam,Monday - Friday,OT included in base salary
472,logo-472.png,Alpaca Vietnam,"Ho Chi Minh, Ha Noi",Product,18264,Vietnam,Monday - Friday,No OT
473,logo-473.png,Sango Technologies Inc,"Phu Nhuan, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,No OT
474,logo-474.png,1CLOUDSTAR,"District 3, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
475,logo-475.png,InteliSys Aviation,"Tan Binh, Ho Chi Minh",Product,51-150,Canada,Monday - Friday,No OT
476,logo-476.png,QA Solutions,"Phu Nhuan, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,Extra salary for OT
477,logo-477.png,Enrich & Co.,"Go Vap, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
478,logo-478.png,MECAR,Ho Chi Minh,Product,18264,Vietnam,Monday - Friday,No OT
479,logo-479.png,"MonoRevo, Inc.","District 1, Ho Chi Minh",Product,18264,Japan,Monday - Friday,No OT
480,logo-480.png,MAXIMUS SOLUTION COMPANY LIMITED,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
481,logo-481.png,ubitec,"Ho Chi Minh, Da Nang, Others",Product,18264,Switzerland,Monday - Friday,No OT
482,logo-482.png,ShopBack,"District 11, Ho Chi Minh",Product,301-500,Singapore,Monday - Friday,No OT
483,logo-483.png,Mgif Studio,"Other, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
484,logo-484.png,AnyMind Group,"Ho Chi Minh, Ha Noi",Product,51-150,Singapore,Monday - Friday,No OT
485,logo-485.png,Grex Solutions,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
486,logo-486.png,Levitate,"District 1, Ho Chi Minh",Product,18264,Netherlands,Monday - Friday,No OT
487,logo-487.png,Applivi,"District 2, Ho Chi Minh",Outsourcing,18264,Germany,Monday - Friday,No OT
488,logo-488.png,RedFOX Labs,"Ho Chi Minh, Others",Outsourcing,18264,Vietnam,Monday - Friday,No OT
489,logo-489.png,FAHASA,"District 3, Ho Chi Minh",Product,301-500,Vietnam,none,none
490,logo-490.png,Virtual Internships,"District 2, Ho Chi Minh",Product,51-150,United Kingdom,Monday - Friday,No OT
491,logo-491.png,Inceptionlabs,"District 4, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,Extra days off for OT
492,logo-492.png,S3 Corporation (S3Corp.),"Tan Binh, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,Extra days off for OT
493,logo-493.png,"Got It, Inc.","Ha Noi, Ho Chi Minh",Product,51-150,United States,Monday - Friday,No OT
494,logo-494.png,HSC,"District 1, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Friday,No OT
495,logo-495.png,FunnelBeam,"Ha Noi, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
496,logo-496.png,Thế Giới Di Động,"District 9, Ho Chi Minh",Product,1000+,Vietnam,Monday - Saturday,No OT
497,logo-497.png,Saigon Valley Company,"Ho Chi Minh, Da Nang",Product,18264,United States,Monday - Friday,No OT
498,logo-498.png,M_Service (MoMo),"Ho Chi Minh, Ha Noi",Product,501-1000,Vietnam,Monday - Friday,Extra days off for OT
499,logo-499.png,Kobo Asia,"District 3, Ho Chi Minh",Product,18264,Japan,Monday - Friday,No OT
500,logo-500.png,OPSWAT Software Vietnam,"District 3, Ho Chi Minh",Product,151-300,United States,Monday - Friday,No OT
501,logo-501.png,TrophyRoom,Ho Chi Minh,Product,18264,Singapore,Monday - Friday,No OT
502,logo-502.png,Altisss,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
503,logo-503.png,Smartlog,"District 2, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,Extra salary for OT
504,logo-504.png,Lihuhu Pte. Ltd.,"Tan Binh, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
505,logo-505.png,Xenia Tech,"Da Nang, Ho Chi Minh",Outsourcing,18264,United Kingdom,Monday - Friday,No OT
506,logo-506.png,Aspire,"Others, Ho Chi Minh, Ha Noi",Product,151-300,Singapore,Monday - Friday,No OT
507,logo-507.png,Splash Interactive Vietnam,"Binh Thanh, Ho Chi Minh",Outsourcing,51-150,Singapore,Monday - Friday,No OT
508,logo-508.png,Autonomous,"Phu Nhuan, Ho Chi Minh",Product,51-150,United States,Monday - Friday,Extra days off for OT
509,logo-509.png,SILKWIRES DIGITAL AGENCY,"District 1, Ho Chi Minh",Outsourcing,18264,France,Monday - Friday,No OT
510,logo-510.png,VT - MILISALE COMPANY LIMITED,"District 4, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
511,logo-511.png,Kayrus Media,"District 12, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
512,logo-512.png,Gia Nguyễn Ads,"District 7, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
513,logo-513.png,Wiin Beauty Center,"District 3, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
514,logo-514.png,Thegoodguys Technology,"District 3, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
515,logo-515.png,CabinEat,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Saturday,No OT
516,logo-516.png,New Wealth,"Phu Nhuan, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
517,logo-517.png,VinID (A member of One Mount Group),"Ha Noi, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Saturday,Extra salary for OT
518,logo-518.png,REVER,"District 2, Ho Chi Minh",Product,301-500,Vietnam,Monday - Friday,No OT
519,logo-519.png,ServiceOne Global,"Thu Duc, Ho Chi Minh",Product,18264,Australia,Monday - Friday,No OT
520,logo-520.png,KAS,"Thu Duc City, Ho Chi Minh",Product,51-150,Vietnam,Monday - Saturday,No OT
521,logo-521.png,Orient Software Development Corp.,"Ho Chi Minh, Da Nang",Outsourcing,151-300,Singapore,Monday - Friday,No OT
522,logo-522.png,Spiraledge,Ho Chi Minh,Product,301-500,United States,Monday - Friday,No OT
523,logo-523.png,TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,"Tan Phu, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
524,logo-524.png,"rakumo Co., Ltd","Tan Binh, Ho Chi Minh",Outsourcing,51-150,Japan,Monday - Friday,Extra salary for OT
525,logo-525.png,mHealth Technologies,"District 2, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
526,logo-526.png,Kompa,"District 10, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
527,logo-527.png,Citek Technology JSC,"Ho Chi Minh, Ha Noi",Product,151-300,Vietnam,Monday - Friday,Extra salary for OT
528,logo-528.png,Ambition Vietnam,"District 3, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,No OT
529,logo-529.png,Sun Life Vietnam Insurance Company Limited,Ho Chi Minh,Product,301-500,Canada,Monday - Friday,none
530,logo-530.png,MOR,"Ho Chi Minh, Ha Noi, Da Nang",Outsourcing,51-150,Vietnam,Monday - Friday,No OT
531,logo-531.png,Agile Lab Pte Ltd,"Other, Ho Chi Minh",Outsourcing,18264,Singapore,Monday - Friday,No OT
532,logo-532.png,NUS Technology,"Tan Binh, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,No OT
533,logo-533.png,Wego.com,"Ho Chi Minh, Ha Noi, Others",Product,151-300,Singapore,Monday - Friday,No OT
534,logo-534.png,GAPIT Communication,"Ha Noi, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
535,logo-535.png,Avantility,"District 3, Ho Chi Minh",Outsourcing,18264,United States,Monday - Friday,No OT
536,logo-536.png,Orange Logic,"District 1, Ho Chi Minh",Product,18264,United States,Monday - Friday,No OT
537,logo-537.png,Song Technologies LLC,"Binh Thanh, Ho Chi Minh",Product,51-150,United States,Monday - Friday,No OT
538,logo-538.png,VNPT THÀNH PhỐ HỒ CHÍ MINH,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
539,logo-539.png,Aureole Information Technology (AIT),"Ho Chi Minh, Others",Outsourcing,51-150,Japan,Monday - Friday,Extra salary for OT
540,logo-540.png,BCA Solutions,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
541,logo-541.png,Designer Journeys,"Tan Binh, Ho Chi Minh",Product,51-150,Australia,Monday - Friday,No OT
542,logo-542.png,Yeah1 Network,"District 3, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
543,logo-543.png,Otanics Technology,"District 3, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
544,logo-544.png,GMO-Z.com RUNSYSTEM,"Ha Noi, Ho Chi Minh, Da Nang",Outsourcing,501-1000,Japan,Monday - Friday,none
545,logo-545.png,Nichietsu Vietnam,Ho Chi Minh,Outsourcing,51-150,Vietnam,Monday - Friday,No OT
546,logo-546.png,Resola Inc,"Others, Ho Chi Minh, Da Nang, Ha Noi",Product,18264,Japan,Monday - Friday,No OT
547,logo-547.png,PAL TECH,"Tan Binh, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,Extra days off for OT
548,logo-548.png,BIGTREES,"District 7, Ho Chi Minh",Outsourcing,18264,Vietnam,Monday - Friday,No OT
549,logo-549.png,Bstar Solutions,"Tan Binh, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,No OT
550,logo-550.png,Telio,"Ha Noi, Ho Chi Minh",Product,501-1000,Vietnam,Monday - Friday,No OT
551,logo-551.png,"Viaconto Co., Ltd.","District 7, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
552,logo-552.png,Dreamcloud Pte Ltd.,"Tan Binh, Ho Chi Minh",Product,18264,Singapore,Monday - Friday,No OT
553,logo-553.png,TITKUL,"Tan Binh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
554,logo-554.png,JT GLOBAL IMPORT EXPORT COMPANY LIMITED,"District 7, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
555,logo-555.png,SIMON SYSTEMS LTD,"Binh Thanh, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
556,logo-556.png,"ECR VIETNAM CO., LTD","Binh Thanh, Ho Chi Minh",Product,51-150,United Kingdom,Monday - Friday,No OT
557,logo-557.png,Vidbeyond,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
558,logo-558.png,Strategic AI,"District 3, Ho Chi Minh",Product,18264,Australia,Monday - Friday,No OT
559,logo-559.png, Ngân hàng Xây Dựng | CBBank,"Ho Chi Minh, Ha Noi",Product,1000+,Vietnam,Monday - Friday,No OT
560,logo-560.png,IVS,"Ho Chi Minh, Ha Noi",Outsourcing,301-500,Japan,Monday - Friday,Extra salary for OT
561,logo-561.png,Yourdev,"Ho Chi Minh, Ha Noi",Outsourcing,18264,United Kingdom,Monday - Friday,No OT
562,logo-562.png,KDS Vietnam,"District 1, Ho Chi Minh",Outsourcing,18264,Japan,Monday - Friday,No OT
563,logo-563.png,Saigon New Port,"District 2, Ho Chi Minh",Product,151-300,Vietnam,Monday - Friday,No OT
564,logo-564.png,Musk Vietnam,"Thu Duc, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
565,logo-565.png,FUNDOO,"District 1, Ho Chi Minh",Product,18264,Vietnam,Monday - Friday,No OT
566,logo-566.png,Vision Vietnam,"Ho Chi Minh, Ha Noi",Product,18264,Japan,Monday - Friday,Extra salary for OT
567,logo-567.png,Tutuka,"Others, Ho Chi Minh, Ha Noi, Da Nang",Product,51-150,South Africa,Monday - Friday,No OT
