stt,logo_name,company_name,location,field,people,country,working_day,time
272,logo-272.png,Pmax Performance Marketing Agency,"District 2, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
273,logo-273.png,Saritasa,"District 1, Ho Chi Minh",Outsourcing,51-150,United States,Monday - Friday,Extra salary for OT
274,logo-274.png,DIAG,"District 10, Ho Chi Minh",Product,301-500,United States,Monday - Friday,No OT
275,logo-275.png,Daoukiwoom Innovation,"Binh Thanh, Ho Chi Minh",Product,501-1000,"Korea, Republic of",Monday - Friday,No OT
276,logo-276.png,GIHOT,"Tan Binh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
277,logo-277.png, WIIN VIỆT NAM,"Ha Noi, Ho Chi Minh",Product,18264,United States,Monday - Saturday,No OT
278,logo-278.png,Ngân hàng TMCP Phương Đông | OCB,"District 1, Ho Chi Minh",Product,1000+,Vietnam,Monday - Saturday,No OT
279,logo-279.png,VNG Corporation,"Ha Noi, Ho Chi Minh",Product,1000+,Vietnam,Monday - Friday,No OT
280,logo-280.png,gumi Vietnam,"District 3, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,Extra salary for OT
281,logo-281.png,Fitech,"Ha Noi, Ho Chi Minh",Product,51-150,Singapore,Monday - Friday,No OT
282,logo-282.png,NHN Vietnam,"Binh Thanh, Ho Chi Minh",Product,151-300,"Korea, Republic of",Monday - Friday,No OT
283,logo-283.png,EVN SPCIT,"Tan Phu, Ho Chi Minh",Outsourcing,51-150,Vietnam,Monday - Friday,Extra days off for OT
284,logo-284.png,Vitalify Asia,"District 3, Ho Chi Minh",Outsourcing,51-150,Japan,Monday - Friday,Extra salary for OT
285,logo-285.png,Unifiedpost,"Binh Thanh, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
286,logo-286.png,Zuhlke Engineering Ltd,"District 1, Ho Chi Minh",Outsourcing,1000+,Switzerland,Monday - Friday,No OT
287,logo-287.png,URBOX,"Ha Noi, Ho Chi Minh",Product,51-150,Vietnam,Monday - Friday,No OT
